candidate_id,feature_set_name,configuration_name,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,true_negative,false_positive,false_negative,true_positive,selected_for_candidate
core_raw__candidate_08,core_raw,wide_feature_sampling,0.225,0.5714285714285714,0.5714285714285714,0.5416666666666666,0.9285714285714286,0.6842105263157895,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,9,33,3,39,False
core_raw__candidate_08,core_raw,wide_feature_sampling,0.25,0.5714285714285714,0.5714285714285714,0.5416666666666666,0.9285714285714286,0.6842105263157895,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,9,33,3,39,False
core_raw__candidate_08,core_raw,wide_feature_sampling,0.275,0.5952380952380952,0.5952380952380952,0.5571428571428572,0.9285714285714286,0.6964285714285714,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,11,31,3,39,False
core_raw__candidate_08,core_raw,wide_feature_sampling,0.3,0.6190476190476191,0.6190476190476191,0.5757575757575758,0.9047619047619048,0.7037037037037037,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,14,28,4,38,False
core_raw__candidate_08,core_raw,wide_feature_sampling,0.325,0.6309523809523809,0.6309523809523809,0.5873015873015873,0.8809523809523809,0.7047619047619048,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,16,26,5,37,False
core_raw__candidate_08,core_raw,wide_feature_sampling,0.35,0.6547619047619048,0.6547619047619048,0.6101694915254238,0.8571428571428571,0.7128712871287128,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,19,23,6,36,False
core_raw__candidate_08,core_raw,wide_feature_sampling,0.375,0.6666666666666666,0.6666666666666666,0.6206896551724138,0.8571428571428571,0.72,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,20,22,6,36,True
core_raw__candidate_08,core_raw,wide_feature_sampling,0.4,0.6666666666666666,0.6666666666666667,0.625,0.8333333333333334,0.7142857142857143,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,21,21,7,35,False
core_raw__candidate_08,core_raw,wide_feature_sampling,0.425,0.6666666666666666,0.6666666666666667,0.6296296296296297,0.8095238095238095,0.7083333333333334,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,22,20,8,34,False
core_raw__candidate_08,core_raw,wide_feature_sampling,0.45,0.6666666666666666,0.6666666666666666,0.64,0.7619047619047619,0.6956521739130435,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,24,18,10,32,False
core_raw__candidate_08,core_raw,wide_feature_sampling,0.475,0.6428571428571429,0.6428571428571428,0.6363636363636364,0.6666666666666666,0.6511627906976745,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,26,16,14,28,False
core_raw__candidate_08,core_raw,wide_feature_sampling,0.5,0.6547619047619048,0.6547619047619048,0.6511627906976745,0.6666666666666666,0.6588235294117647,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,27,15,14,28,False
core_raw__candidate_08,core_raw,wide_feature_sampling,0.525,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,27,15,15,27,False
core_raw__candidate_08,core_raw,wide_feature_sampling,0.55,0.6428571428571429,0.6428571428571428,0.65,0.6190476190476191,0.6341463414634146,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,28,14,16,26,False
core_raw__candidate_08,core_raw,wide_feature_sampling,0.575,0.6309523809523809,0.6309523809523809,0.6486486486486487,0.5714285714285714,0.6075949367088608,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,29,13,18,24,False
