pr_number,delay_probability,delay_prediction,delay_prediction_confidence,delay_prediction_threshold,delay_prediction_model_name
3579,0.934551900352386,1,0.934551900352386,0.75,logistic_candidate_07
3616,0.152954579963068,0,0.847045420036932,0.75,logistic_candidate_07
3624,0.026018495915662146,0,0.9739815040843378,0.75,logistic_candidate_07
3636,0.022474816201984365,0,0.9775251837980157,0.75,logistic_candidate_07
3644,0.07497802912703459,0,0.9250219708729654,0.75,logistic_candidate_07
3648,0.1393503077723277,0,0.8606496922276723,0.75,logistic_candidate_07
3659,0.2587748552599853,0,0.7412251447400147,0.75,logistic_candidate_07
3669,0.9300512106495803,1,0.9300512106495803,0.75,logistic_candidate_07
3671,0.03326797140135941,0,0.9667320285986406,0.75,logistic_candidate_07
3677,0.0076150929073345395,0,0.9923849070926655,0.75,logistic_candidate_07
3686,0.10440787932369644,0,0.8955921206763036,0.75,logistic_candidate_07
3699,0.5747531791614737,0,0.4252468208385263,0.75,logistic_candidate_07
3709,0.26997505415711387,0,0.7300249458428861,0.75,logistic_candidate_07
3716,0.07133017786534666,0,0.9286698221346533,0.75,logistic_candidate_07
3728,0.9281657237084452,1,0.9281657237084452,0.75,logistic_candidate_07
3742,0.0022236613879052626,0,0.9977763386120947,0.75,logistic_candidate_07
3756,0.01474807308886208,0,0.9852519269111379,0.75,logistic_candidate_07
3771,0.10065797322215263,0,0.8993420267778474,0.75,logistic_candidate_07
3773,0.07747539628301914,0,0.9225246037169809,0.75,logistic_candidate_07
3785,0.7254381030943419,0,0.27456189690565813,0.75,logistic_candidate_07
3790,0.00340917706395838,0,0.9965908229360416,0.75,logistic_candidate_07
3802,0.5318132341091427,0,0.4681867658908573,0.75,logistic_candidate_07
3816,0.28303512322788416,0,0.7169648767721158,0.75,logistic_candidate_07
3819,0.15356971028948305,0,0.8464302897105169,0.75,logistic_candidate_07
3823,0.05120102501785323,0,0.9487989749821468,0.75,logistic_candidate_07
3828,0.004242967875170097,0,0.9957570321248299,0.75,logistic_candidate_07
3836,0.46257304379005537,0,0.5374269562099446,0.75,logistic_candidate_07
3854,0.03967062065466314,0,0.9603293793453369,0.75,logistic_candidate_07
3855,0.013643512576675424,0,0.9863564874233246,0.75,logistic_candidate_07
3859,0.014099611509351814,0,0.9859003884906482,0.75,logistic_candidate_07
3880,0.35812218674455526,0,0.6418778132554448,0.75,logistic_candidate_07
3887,0.017005616334597358,0,0.9829943836654026,0.75,logistic_candidate_07
3891,0.0018002552472174875,0,0.9981997447527825,0.75,logistic_candidate_07
3895,0.3477054052271813,0,0.6522945947728187,0.75,logistic_candidate_07
3907,0.939564424597142,1,0.939564424597142,0.75,logistic_candidate_07
3922,0.04449018374387636,0,0.9555098162561236,0.75,logistic_candidate_07
3932,0.2971283671242185,0,0.7028716328757816,0.75,logistic_candidate_07
3943,0.03942636811442491,0,0.9605736318855751,0.75,logistic_candidate_07
3952,0.03942636811442491,0,0.9605736318855751,0.75,logistic_candidate_07
3971,0.4782148091549148,0,0.5217851908450852,0.75,logistic_candidate_07
3989,0.667933344922895,0,0.332066655077105,0.75,logistic_candidate_07
4011,0.02388732217874085,0,0.9761126778212591,0.75,logistic_candidate_07
4047,0.2181602390638583,0,0.7818397609361417,0.75,logistic_candidate_07
4071,0.6102075844575184,0,0.38979241554248156,0.75,logistic_candidate_07
4100,0.024289270834511226,0,0.9757107291654887,0.75,logistic_candidate_07
4139,0.9829596066285671,1,0.9829596066285671,0.75,logistic_candidate_07
4175,0.29582105591412333,0,0.7041789440858767,0.75,logistic_candidate_07
4181,0.014572505610088396,0,0.9854274943899116,0.75,logistic_candidate_07
4184,0.22790283544308299,0,0.772097164556917,0.75,logistic_candidate_07
4190,0.9631756472882431,1,0.9631756472882431,0.75,logistic_candidate_07
4209,0.04421215170350362,0,0.9557878482964963,0.75,logistic_candidate_07
4221,0.22291420651056967,0,0.7770857934894303,0.75,logistic_candidate_07
4234,0.26390843369891964,0,0.7360915663010803,0.75,logistic_candidate_07
4254,0.16638177201649798,0,0.833618227983502,0.75,logistic_candidate_07
4266,0.10324577055208671,0,0.8967542294479133,0.75,logistic_candidate_07
4271,0.12080712502110241,0,0.8791928749788975,0.75,logistic_candidate_07
4283,0.4931400219275919,0,0.5068599780724081,0.75,logistic_candidate_07
4287,0.005294387050953466,0,0.9947056129490466,0.75,logistic_candidate_07
4298,0.8479249577692638,1,0.8479249577692638,0.75,logistic_candidate_07
4304,0.07380611547111522,0,0.9261938845288847,0.75,logistic_candidate_07
4326,0.03588363110395305,0,0.9641163688960469,0.75,logistic_candidate_07
4335,0.01989969782874301,0,0.980100302171257,0.75,logistic_candidate_07
4343,0.19660965242132103,0,0.803390347578679,0.75,logistic_candidate_07
4382,0.9725711647325636,1,0.9725711647325636,0.75,logistic_candidate_07
4397,0.9969549040124652,1,0.9969549040124652,0.75,logistic_candidate_07
4412,0.8320186506714254,1,0.8320186506714254,0.75,logistic_candidate_07
4432,0.9547525676198267,1,0.9547525676198267,0.75,logistic_candidate_07
