pr_number,merge_probability,merge_prediction,merge_prediction_confidence,merge_prediction_threshold,merge_prediction_model_name
3548,0.40057317953213745,0,0.5994268204678626,0.425,contributor_neutral_random_forest_tuned
3554,0.598532574693811,1,0.598532574693811,0.425,contributor_neutral_random_forest_tuned
3563,0.9108440088960911,1,0.9108440088960911,0.425,contributor_neutral_random_forest_tuned
3567,0.25556892652839347,0,0.7444310734716065,0.425,contributor_neutral_random_forest_tuned
3579,0.6213697733356922,1,0.6213697733356922,0.425,contributor_neutral_random_forest_tuned
3581,0.15076272069248958,0,0.8492372793075105,0.425,contributor_neutral_random_forest_tuned
3587,0.22939625525265953,0,0.7706037447473405,0.425,contributor_neutral_random_forest_tuned
3601,0.1578069872539279,0,0.8421930127460722,0.425,contributor_neutral_random_forest_tuned
3605,0.36258354114184504,0,0.637416458858155,0.425,contributor_neutral_random_forest_tuned
3616,0.5922094129865796,1,0.5922094129865796,0.425,contributor_neutral_random_forest_tuned
3622,0.10833971749518728,0,0.8916602825048128,0.425,contributor_neutral_random_forest_tuned
3624,0.8135877833799068,1,0.8135877833799068,0.425,contributor_neutral_random_forest_tuned
3636,0.7909370182938671,1,0.7909370182938671,0.425,contributor_neutral_random_forest_tuned
3643,0.2187850066319537,0,0.7812149933680463,0.425,contributor_neutral_random_forest_tuned
3644,0.9186529670087149,1,0.9186529670087149,0.425,contributor_neutral_random_forest_tuned
3648,0.9111257573612064,1,0.9111257573612064,0.425,contributor_neutral_random_forest_tuned
3652,0.4215530504539176,0,0.5784469495460824,0.425,contributor_neutral_random_forest_tuned
3657,0.2597001573517448,0,0.7402998426482552,0.425,contributor_neutral_random_forest_tuned
3659,0.8184426964004723,1,0.8184426964004723,0.425,contributor_neutral_random_forest_tuned
3669,0.8084784823029747,1,0.8084784823029747,0.425,contributor_neutral_random_forest_tuned
3670,0.3051669502432287,0,0.6948330497567713,0.425,contributor_neutral_random_forest_tuned
3671,0.860919950479487,1,0.860919950479487,0.425,contributor_neutral_random_forest_tuned
3677,0.7462125005976585,1,0.7462125005976585,0.425,contributor_neutral_random_forest_tuned
3683,0.15334803376403447,0,0.8466519662359655,0.425,contributor_neutral_random_forest_tuned
3686,0.9202184863106957,1,0.9202184863106957,0.425,contributor_neutral_random_forest_tuned
3690,0.23018009696863692,0,0.769819903031363,0.425,contributor_neutral_random_forest_tuned
3698,0.25849807689370075,0,0.7415019231062993,0.425,contributor_neutral_random_forest_tuned
3699,0.7922026215999511,1,0.7922026215999511,0.425,contributor_neutral_random_forest_tuned
3703,0.28127964752582224,0,0.7187203524741778,0.425,contributor_neutral_random_forest_tuned
3709,0.854041624736285,1,0.854041624736285,0.425,contributor_neutral_random_forest_tuned
3716,0.9208178737569429,1,0.9208178737569429,0.425,contributor_neutral_random_forest_tuned
3728,0.5903278054450307,1,0.5903278054450307,0.425,contributor_neutral_random_forest_tuned
3732,0.3363967036843734,0,0.6636032963156266,0.425,contributor_neutral_random_forest_tuned
3733,0.39896846414738535,0,0.6010315358526146,0.425,contributor_neutral_random_forest_tuned
3737,0.25130266513268285,0,0.7486973348673172,0.425,contributor_neutral_random_forest_tuned
3742,0.8349848901959591,1,0.8349848901959591,0.425,contributor_neutral_random_forest_tuned
3748,0.15979002256378458,0,0.8402099774362154,0.425,contributor_neutral_random_forest_tuned
3756,0.8136141767854621,1,0.8136141767854621,0.425,contributor_neutral_random_forest_tuned
3757,0.5994506755747598,1,0.5994506755747598,0.425,contributor_neutral_random_forest_tuned
3771,0.8457309975661712,1,0.8457309975661712,0.425,contributor_neutral_random_forest_tuned
3772,0.3267778428694501,0,0.6732221571305499,0.425,contributor_neutral_random_forest_tuned
3773,0.7852315043428453,1,0.7852315043428453,0.425,contributor_neutral_random_forest_tuned
3774,0.6495932262062752,1,0.6495932262062752,0.425,contributor_neutral_random_forest_tuned
3778,0.08173344152451542,0,0.9182665584754846,0.425,contributor_neutral_random_forest_tuned
3784,0.11433270474917329,0,0.8856672952508267,0.425,contributor_neutral_random_forest_tuned
3785,0.49229924215923315,1,0.49229924215923315,0.425,contributor_neutral_random_forest_tuned
3790,0.7248658459044384,1,0.7248658459044384,0.425,contributor_neutral_random_forest_tuned
3793,0.12515422023545014,0,0.8748457797645499,0.425,contributor_neutral_random_forest_tuned
3798,0.5900063874686763,1,0.5900063874686763,0.425,contributor_neutral_random_forest_tuned
3802,0.72263834372626,1,0.72263834372626,0.425,contributor_neutral_random_forest_tuned
3804,0.2601309140228079,0,0.7398690859771921,0.425,contributor_neutral_random_forest_tuned
3807,0.3293021442551466,0,0.6706978557448534,0.425,contributor_neutral_random_forest_tuned
3812,0.2917456045888832,0,0.7082543954111168,0.425,contributor_neutral_random_forest_tuned
3816,0.7999523719430387,1,0.7999523719430387,0.425,contributor_neutral_random_forest_tuned
3819,0.8737530151848926,1,0.8737530151848926,0.425,contributor_neutral_random_forest_tuned
3823,0.8098280364475648,1,0.8098280364475648,0.425,contributor_neutral_random_forest_tuned
3824,0.11439528508671289,0,0.8856047149132871,0.425,contributor_neutral_random_forest_tuned
3828,0.8412507118042593,1,0.8412507118042593,0.425,contributor_neutral_random_forest_tuned
3836,0.5833345529332221,1,0.5833345529332221,0.425,contributor_neutral_random_forest_tuned
3850,0.13249224869589815,0,0.8675077513041018,0.425,contributor_neutral_random_forest_tuned
3854,0.9067410349257616,1,0.9067410349257616,0.425,contributor_neutral_random_forest_tuned
3855,0.7092798882980899,1,0.7092798882980899,0.425,contributor_neutral_random_forest_tuned
3858,0.6682116859016217,1,0.6682116859016217,0.425,contributor_neutral_random_forest_tuned
3859,0.8389994946961812,1,0.8389994946961812,0.425,contributor_neutral_random_forest_tuned
3868,0.4805182006468602,1,0.4805182006468602,0.425,contributor_neutral_random_forest_tuned
3876,0.33096864360000317,0,0.6690313563999968,0.425,contributor_neutral_random_forest_tuned
3880,0.8210207834753914,1,0.8210207834753914,0.425,contributor_neutral_random_forest_tuned
3887,0.8788542369721033,1,0.8788542369721033,0.425,contributor_neutral_random_forest_tuned
3891,0.7088066199874299,1,0.7088066199874299,0.425,contributor_neutral_random_forest_tuned
3895,0.8534729956393132,1,0.8534729956393132,0.425,contributor_neutral_random_forest_tuned
3896,0.16997523263772377,0,0.8300247673622763,0.425,contributor_neutral_random_forest_tuned
3897,0.1955760576093105,0,0.8044239423906895,0.425,contributor_neutral_random_forest_tuned
3907,0.5011021508963471,1,0.5011021508963471,0.425,contributor_neutral_random_forest_tuned
3910,0.22371447111286974,0,0.7762855288871302,0.425,contributor_neutral_random_forest_tuned
3920,0.42352197881760556,0,0.5764780211823944,0.425,contributor_neutral_random_forest_tuned
3922,0.7896236396078832,1,0.7896236396078832,0.425,contributor_neutral_random_forest_tuned
3924,0.2289596960190047,0,0.7710403039809953,0.425,contributor_neutral_random_forest_tuned
3932,0.6549191719422589,1,0.6549191719422589,0.425,contributor_neutral_random_forest_tuned
3940,0.33948503573913,0,0.66051496426087,0.425,contributor_neutral_random_forest_tuned
3943,0.9195914620807226,1,0.9195914620807226,0.425,contributor_neutral_random_forest_tuned
3946,0.5893292193195245,1,0.5893292193195245,0.425,contributor_neutral_random_forest_tuned
3951,0.2239360785076983,0,0.7760639214923017,0.425,contributor_neutral_random_forest_tuned
3952,0.9195914620807226,1,0.9195914620807226,0.425,contributor_neutral_random_forest_tuned
3971,0.6975125692561471,1,0.6975125692561471,0.425,contributor_neutral_random_forest_tuned
3975,0.3825510160153863,0,0.6174489839846137,0.425,contributor_neutral_random_forest_tuned
3982,0.3400941741674496,0,0.6599058258325504,0.425,contributor_neutral_random_forest_tuned
3989,0.8218396971306171,1,0.8218396971306171,0.425,contributor_neutral_random_forest_tuned
4011,0.7474358328145694,1,0.7474358328145694,0.425,contributor_neutral_random_forest_tuned
4013,0.22462957364936142,0,0.7753704263506386,0.425,contributor_neutral_random_forest_tuned
4033,0.36218387964053567,0,0.6378161203594643,0.425,contributor_neutral_random_forest_tuned
4047,0.6529576578596537,1,0.6529576578596537,0.425,contributor_neutral_random_forest_tuned
4070,0.201481266911026,0,0.798518733088974,0.425,contributor_neutral_random_forest_tuned
4071,0.6439695143347186,1,0.6439695143347186,0.425,contributor_neutral_random_forest_tuned
4100,0.9237671528187648,1,0.9237671528187648,0.425,contributor_neutral_random_forest_tuned
4111,0.14099882373209696,0,0.8590011762679031,0.425,contributor_neutral_random_forest_tuned
4133,0.22579129306450307,0,0.7742087069354969,0.425,contributor_neutral_random_forest_tuned
4139,0.6840918341313483,1,0.6840918341313483,0.425,contributor_neutral_random_forest_tuned
4173,0.5316619855321042,1,0.5316619855321042,0.425,contributor_neutral_random_forest_tuned
4175,0.755026885524299,1,0.755026885524299,0.425,contributor_neutral_random_forest_tuned
4181,0.7876394715893512,1,0.7876394715893512,0.425,contributor_neutral_random_forest_tuned
4184,0.526734465885637,1,0.526734465885637,0.425,contributor_neutral_random_forest_tuned
4186,0.16018101870900717,0,0.8398189812909929,0.425,contributor_neutral_random_forest_tuned
4190,0.7182638004429108,1,0.7182638004429108,0.425,contributor_neutral_random_forest_tuned
4196,0.35164780203057827,0,0.6483521979694218,0.425,contributor_neutral_random_forest_tuned
4200,0.12146162084300084,0,0.8785383791569992,0.425,contributor_neutral_random_forest_tuned
4209,0.8203580156744624,1,0.8203580156744624,0.425,contributor_neutral_random_forest_tuned
4221,0.8831562991933976,1,0.8831562991933976,0.425,contributor_neutral_random_forest_tuned
4223,0.22575240233178584,0,0.7742475976682142,0.425,contributor_neutral_random_forest_tuned
4234,0.717563337719055,1,0.717563337719055,0.425,contributor_neutral_random_forest_tuned
4237,0.10227431837233958,0,0.8977256816276604,0.425,contributor_neutral_random_forest_tuned
4250,0.42058358752121394,0,0.5794164124787861,0.425,contributor_neutral_random_forest_tuned
4254,0.8522881107029493,1,0.8522881107029493,0.425,contributor_neutral_random_forest_tuned
4263,0.07694510731002371,0,0.9230548926899763,0.425,contributor_neutral_random_forest_tuned
4266,0.6761303894253035,1,0.6761303894253035,0.425,contributor_neutral_random_forest_tuned
4271,0.8650611157460454,1,0.8650611157460454,0.425,contributor_neutral_random_forest_tuned
4272,0.2739524071469808,0,0.7260475928530192,0.425,contributor_neutral_random_forest_tuned
4274,0.27179617469147493,0,0.728203825308525,0.425,contributor_neutral_random_forest_tuned
4276,0.7782728654134426,1,0.7782728654134426,0.425,contributor_neutral_random_forest_tuned
4281,0.23613641313481584,0,0.7638635868651842,0.425,contributor_neutral_random_forest_tuned
4283,0.8297071353016957,1,0.8297071353016957,0.425,contributor_neutral_random_forest_tuned
4287,0.8413965016884136,1,0.8413965016884136,0.425,contributor_neutral_random_forest_tuned
4298,0.5897017789369994,1,0.5897017789369994,0.425,contributor_neutral_random_forest_tuned
4304,0.675039116385128,1,0.675039116385128,0.425,contributor_neutral_random_forest_tuned
4319,0.6255294862144336,1,0.6255294862144336,0.425,contributor_neutral_random_forest_tuned
4324,0.2414262193397378,0,0.7585737806602622,0.425,contributor_neutral_random_forest_tuned
4326,0.8232031361293024,1,0.8232031361293024,0.425,contributor_neutral_random_forest_tuned
4335,0.7494039018443565,1,0.7494039018443565,0.425,contributor_neutral_random_forest_tuned
4343,0.8435526140751958,1,0.8435526140751958,0.425,contributor_neutral_random_forest_tuned
4358,0.6670835660819614,1,0.6670835660819614,0.425,contributor_neutral_random_forest_tuned
4363,0.5604239222965061,1,0.5604239222965061,0.425,contributor_neutral_random_forest_tuned
4368,0.4764534800882353,1,0.4764534800882353,0.425,contributor_neutral_random_forest_tuned
4374,0.11275663500882437,0,0.8872433649911756,0.425,contributor_neutral_random_forest_tuned
4382,0.7011264991748162,1,0.7011264991748162,0.425,contributor_neutral_random_forest_tuned
4394,0.5287698097603306,1,0.5287698097603306,0.425,contributor_neutral_random_forest_tuned
4397,0.662804556416862,1,0.662804556416862,0.425,contributor_neutral_random_forest_tuned
4399,0.22219135220290553,0,0.7778086477970945,0.425,contributor_neutral_random_forest_tuned
