pr_number,split,merge_delay_target,additions,additions_iqr_outlier,body_length,body_length_iqr_outlier,body_word_count,body_word_count_iqr_outlier,change_density_per_file,changed_files,changed_files_iqr_outlier,commit_count,commit_count_iqr_outlier,configuration_files_changed,configuration_files_changed_iqr_outlier,created_day_of_week,created_hour_utc,created_on_weekend,deletion_ratio,deletions,deletions_iqr_outlier,documentation_files_changed,documentation_files_changed_iqr_outlier,files_added,files_added_iqr_outlier,files_modified,files_modified_iqr_outlier,files_removed,files_removed_iqr_outlier,files_renamed,files_renamed_iqr_outlier,has_any_iqr_outlier,has_configuration_changes,has_description,has_detailed_description,has_documentation_changes,has_multiple_commits,has_security_sensitive_changes,has_test_changes,iqr_outlier_feature_count,label_count,log1p_additions,log1p_body_length,log1p_body_word_count,log1p_changed_files,log1p_commit_count,log1p_deletions,log1p_total_changes,requested_reviewer_count,requested_reviewer_count_iqr_outlier,security_sensitive_files_changed,security_sensitive_files_changed_iqr_outlier,short_title,test_files_changed,test_files_changed_iqr_outlier,title_length,title_length_iqr_outlier,total_changes,total_changes_iqr_outlier,very_long_description
3479,train,0,1,False,432,False,68,False,2.0,1,False,1,False,0,False,3,20,False,0.5,1,False,1,False,0,False,1,False,0,False,0,False,False,False,True,True,True,False,False,False,0,1,0.6931471805599453,6.07073772800249,4.23410650459726,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,0,False,0,False,False,0,False,44,False,2,False,False
3492,train,0,11,False,103,False,17,False,6.0,3,False,1,False,0,False,0,0,False,0.3888888888888889,7,False,1,False,0,False,3,False,0,False,0,False,True,False,True,False,True,False,False,True,1,1,2.4849066497880004,4.6443908991413725,2.8903717578961645,1.3862943611198906,0.6931471805599453,2.079441541679836,2.9444389791664403,0,False,0,False,False,1,True,35,False,18,False,False
3497,train,0,1,False,38,False,6,False,2.0,1,False,1,False,1,True,0,19,False,0.5,1,False,0,False,0,False,1,False,0,False,0,False,True,True,True,False,False,False,False,False,1,0,0.6931471805599453,3.6635616461296463,1.9459101490553128,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,0,False,0,False,False,0,False,27,False,2,False,False
3517,train,0,1,False,532,False,85,False,2.0,1,False,1,False,0,False,3,22,False,0.5,1,False,1,False,0,False,1,False,0,False,0,False,False,False,True,True,True,False,False,False,0,0,0.6931471805599453,6.278521424165844,4.454347296253507,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,0,False,0,False,True,0,False,8,False,2,False,False
3524,train,1,0,False,987,False,120,False,3.0,1,False,1,False,1,True,0,18,False,1.0,3,False,0,False,0,False,1,False,0,False,0,False,True,True,True,True,False,False,False,False,2,0,0.0,6.895682697747868,4.795790545596741,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.3862943611198906,0,False,0,False,False,0,False,39,False,3,False,False
3530,train,1,2,False,44,False,6,False,4.0,1,False,1,False,0,False,3,10,False,0.5,2,False,1,False,0,False,1,False,0,False,0,False,True,False,True,False,True,False,False,False,1,1,1.0986122886681098,3.80666248977032,1.9459101490553128,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.6094379124341005,0,False,0,False,False,0,False,44,False,4,False,False
3537,train,1,1,False,0,False,0,False,2.0,1,False,1,False,0,False,2,7,False,0.5,1,False,0,False,0,False,1,False,0,False,0,False,True,False,False,False,False,False,False,False,1,1,0.6931471805599453,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,0,False,0,False,False,0,False,38,False,2,False,False
3544,train,0,1,False,532,False,85,False,2.0,1,False,1,False,0,False,2,14,False,0.5,1,False,1,False,0,False,1,False,0,False,0,False,False,False,True,True,True,False,False,False,0,0,0.6931471805599453,6.278521424165844,4.454347296253507,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,0,False,0,False,False,0,False,23,False,2,False,False
3554,train,0,586,True,194,False,25,False,31.404761904761905,84,True,7,True,7,True,5,18,True,0.7778620166793025,2052,True,26,True,0,False,78,True,6,True,0,False,True,True,True,False,True,True,True,True,11,0,6.375024819828097,5.272999558563747,3.258096538021482,4.442651256490317,2.079441541679836,7.627057417018934,7.878155336503324,0,False,2,True,True,27,True,13,False,2638,True,False
3563,train,0,45,False,12,False,2,False,16.6,5,False,1,False,0,False,1,22,False,0.4578313253012048,38,True,2,False,0,False,5,True,0,False,0,False,True,False,True,False,True,False,False,True,4,1,3.828641396489095,2.5649493574615367,1.0986122886681098,1.791759469228055,0.6931471805599453,3.6635616461296463,4.430816798843313,0,False,0,False,False,2,True,40,False,83,True,False
3579,train,1,20,False,850,False,125,False,7.0,3,False,1,False,0,False,0,19,False,0.0476190476190476,1,False,1,False,0,False,3,False,0,False,0,False,True,False,True,True,True,False,False,True,3,0,3.044522437723423,6.746412128573375,4.836281906951478,1.3862943611198906,0.6931471805599453,0.6931471805599453,3.091042453358316,1,True,0,False,False,1,True,56,False,21,False,False
3616,train,0,8,False,0,False,0,False,8.0,1,False,1,False,1,True,0,21,False,0.0,0,False,0,False,1,True,0,False,0,False,0,False,True,True,False,False,False,False,False,False,2,0,2.19722457733622,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,2.19722457733622,0,False,0,False,False,0,False,22,False,8,False,False
