pr_number,split,merge_delay_target,additions_iqr_outlier,body_length_iqr_outlier,body_word_count_iqr_outlier,changed_files_iqr_outlier,commit_count_iqr_outlier,configuration_files_changed_iqr_outlier,created_on_weekend,deletions_iqr_outlier,documentation_files_changed_iqr_outlier,files_added_iqr_outlier,files_modified_iqr_outlier,files_removed_iqr_outlier,files_renamed,files_renamed_iqr_outlier,has_any_iqr_outlier,has_configuration_changes,has_description,has_detailed_description,has_documentation_changes,has_multiple_commits,has_security_sensitive_changes,has_test_changes,requested_reviewer_count,requested_reviewer_count_iqr_outlier,security_sensitive_files_changed_iqr_outlier,short_title,test_files_changed_iqr_outlier,title_length_iqr_outlier,total_changes_iqr_outlier,very_long_description,additions,body_length,body_word_count,change_density_per_file,changed_files,commit_count,configuration_files_changed,created_day_of_week,created_hour_utc,deletion_ratio,deletions,documentation_files_changed,files_added,files_modified,files_removed,iqr_outlier_feature_count,label_count,log1p_additions,log1p_body_length,log1p_body_word_count,log1p_changed_files,log1p_commit_count,log1p_deletions,log1p_total_changes,security_sensitive_files_changed,test_files_changed,title_length,total_changes
2854,train,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07719538228549053,-0.24858055830866066,-0.11688822329486298,0.21146614682277537,-0.17316299987187822,-0.33462683191989634,-0.34528453656689306,0.6957436830931255,1.0457972113800256,-2.0223306570729163,-0.20570261793592035,-0.12306743594844094,-0.11204874765929806,-0.15699634498325588,-0.08794999545015139,-0.4231741696577831,0.7561764411781836,1.0408993465940388,0.5296734815082613,0.6332374962765968,-0.060044691068802135,-0.37894499455701275,-1.0908433999984704,0.6877812189921078,-0.13523517560422083,-0.19466400788931726,1.5623214623390809,-0.1421680425564882
2861,train,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12088151502583246,0.13761607941370343,0.6762265709064215,-0.11931457648778072,0.024737571410268316,0.6878440433908977,-0.34528453656689306,-0.29817586418276815,0.07909390674302706,-0.18567382616524156,-0.15531436858562286,0.7410230717746551,-0.11204874765929806,0.12611181810130395,-0.08794999545015139,0.7858948865073117,0.7561764411781836,0.7547219837461917,0.9054886399055995,1.14725143659163,0.7017658777172902,1.11503898681346,0.6730207368085424,0.7012602824768844,-0.13523517560422083,-0.19466400788931726,2.5075804812283913,-0.1407124873925629
2872,train,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1891410974326167,-0.4988555132077691,-0.579133042001133,-0.40168836467971886,-0.2721132855129515,-0.33462683191989634,-0.34528453656689306,-0.795135637820715,0.7235627765010261,0.30050004083973125,-0.20273860326825577,-0.12306743594844094,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.8261971883794814,-0.941362508405494,-0.8458145240015983,-0.7694442160295959,-0.9591863649141107,-0.664727757578983,-0.37894499455701275,-0.6678467906597125,-0.8733298057579086,-0.13523517560422083,-0.19466400788931726,-1.2734555943288512,-0.20039024911350126
2877,train,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11393144845350536,-0.4325224763808509,-0.4428924638561271,-0.08576941969505426,1.5089918560263673,0.6878440433908977,-0.34528453656689306,1.689663230369019,-1.85431270253097,0.30050004083973125,0.12626702484251015,5.0614756103901355,-0.11204874765929806,2.2494230412355027,-0.08794999545015139,2.3979869613941047,-0.941362508405494,1.6350611095836594,0.026485298039128424,0.04391219745606104,2.7691909374936428,1.11503898681346,1.7940691761866814,1.6580714967104722,-0.13523517560422083,-0.19466400788931726,0.39892574678300613,0.1227429972779211
2898,train,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06354346580413368,-0.23596507277716086,-0.18987424730111616,0.060866793120408325,-0.07421271423080496,0.6878440433908977,-0.34528453656689306,0.6957436830931255,1.3680316462590252,-1.8327118245902514,-0.19977458860059122,0.16496273329259106,-0.11204874765929806,-0.015442263440975964,-0.08794999545015139,-0.02015115093608484,0.7561764411781836,1.1085449248049555,0.549191868888475,0.5468482606589556,0.3689847723091936,1.11503898681346,-0.42040963626434275,0.7762107061096665,-0.13523517560422083,-0.19466400788931726,1.1987603012278074,-0.13197915640901092
2910,train,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18641071413634533,-0.20585068796003236,-0.09255954862611193,-0.20806062420524699,-0.2721132855129515,0.6878440433908977,-0.34528453656689306,-1.2920954114586618,-0.8876093978939715,1.461915389796055,-0.187918529929933,-0.12306743594844094,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.4231741696577831,-0.941362508405494,-0.596471810663793,0.5923748289833957,0.6591725981215427,-0.664727757578983,1.11503898681346,0.09665821324236852,-0.22919865697186706,-0.13523517560422083,-0.19466400788931726,0.03536458567173282,-0.19165691812994928
2913,train,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1891410974326167,-0.4251973557496575,-0.486684078259879,-0.40168836467971886,-0.2721132855129515,-0.33462683191989634,-0.34528453656689306,-0.795135637820715,-1.0487266153334713,0.30050004083973125,-0.20273860326825577,-0.41109760518947297,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.4231741696577831,2.453715390761861,-0.8458145240015983,0.06381836830063392,-0.12536638748128673,-0.664727757578983,-0.37894499455701275,-0.6678467906597125,-0.8733298057579086,-0.13523517560422083,-0.19466400788931726,0.18078905011624216,-0.20039024911350126
2915,train,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1891410974326167,-0.4272321114805446,-0.486684078259879,-0.40168836467971886,-0.2721132855129515,-0.33462683191989634,-0.34528453656689306,-0.29817586418276815,0.4013283416220266,0.30050004083973125,-0.20273860326825577,-0.12306743594844094,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.8261971883794814,-0.941362508405494,-0.8458145240015983,0.05378078969078618,-0.12536638748128673,-0.664727757578983,-0.37894499455701275,-0.6678467906597125,-0.8733298057579086,-0.13523517560422083,-0.19466400788931726,0.3262135145607515,-0.20039024911350126
2917,train,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1809499475438026,-0.41420967480286736,-0.4039665843861254,-0.04670417380985378,-0.2721132855129515,-0.33462683191989634,-0.34528453656689306,0.6957436830931255,-1.3709610502124707,1.1938964631138265,-0.17902648592693932,-0.12306743594844094,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.4231741696577831,0.7561764411781836,-0.2823371427842802,0.11418296066923807,0.15929590534268076,-0.664727757578983,-0.37894499455701275,0.31432092060604333,0.029853823354768338,-0.13523517560422083,-0.19466400788931726,0.25350128233849684,-0.18437914231032265
2928,train,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1536461145810889,-0.42275564887259304,-0.4331609939886267,-0.22957481759129944,-0.07421271423080496,-0.33462683191989634,-0.34528453656689306,0.6957436830931255,1.0457972113800256,-0.3329992404091728,-0.18199050059460387,-0.12306743594844094,-0.11204874765929806,-0.015442263440975964,-0.08794999545015139,-0.02015115093608484,-0.941362508405494,0.3932597544207121,0.07555118195014734,0.07518969747436254,0.3689847723091936,-0.37894499455701275,0.2500241274697851,0.32092144127555666,-0.13523517560422083,0.13476739007721963,2.1440193201171183,-0.17127914583499473
2934,train,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.16456764776617439,-0.23962763309275759,-0.2190686569036174,-0.3479028812145878,-0.07421271423080496,-0.33462683191989634,-0.34528453656689306,0.19878390945517868,-0.24314052813597248,-1.5999978029069803,-0.20273860326825577,-0.12306743594844094,-0.11204874765929806,-0.015442263440975964,-0.08794999545015139,-0.02015115093608484,-0.941362508405494,0.2025284933777978,0.5436192895517542,0.5079359558725253,0.3689847723091936,-0.37894499455701275,-0.6678467906597125,-0.06052679181535508,-0.13523517560422083,0.13476739007721963,1.8531703912280995,-0.1872902526381733
